Level 1,Level 1,5
Level 2,L2,3
Level 3,L3,6
Level 4,L4,3
Zero Rule,Level 5,1
NEXT,NEXT,NEXT
Level 1,Level 1,Q1L1,qww,1,1,/,1,2
Level 1,Level 1,23423,234234,2,4,*,0,2
Level 1,Level 1,234234,234234,4,2,/,0,2
Level 1,Level 1,234234,234234,3,2,-,0,1
Level 1,Level 1,dfgdf,dfgdfg,3,3,+,1,2
Level 2,L2,Q1L2,Q1L2,1,1,+,0,3
Level 1,Level 1,Q1,Q2,1,2,+,1,3
Level 2,L2,Q1L1,wqew,2,3,+,1,1
Zero Rule,Level 5,Q1L1,Q1L1,2,2,+,0,4
Zero Rule,Level 5,234,234,3,4,+,0,2
Level 1,Level 1,234234,234234,3,3,+,1,3
Level 1,Level 1,3rt,ertert,1,2,+,1,1
Level 1,Level 1,234234,24234,1,2,+,1,2
Zero Rule,Level 5,24234,234234,3,2,+,1,3
Level 1,Level 1,234234,234234,1,3,+,1,1
Level 3,L3,234234,23424,2,2,+,0,2
Level 1,Level 1,2423,2342,1,1,+,1,2
Level 3,L3,123123,123123,1,1,+,1,2
